generation,phase,best_fitness,avg_fitness,median_fitness,best_delta,median_delta,global_best_fitness,n_species,n_connections_best,n_hidden_best,oracle_tax,elapsed_sec
125,0,0.441000,0.426520,0.440000,0.441000,0.440000,0.441000,262,32,14,-0.25,1.59
126,0,0.441000,0.428761,0.440000,0.441000,0.440000,0.441000,268,32,14,-0.25,1.67
127,0,0.441000,0.428908,0.440000,0.441000,0.440000,0.441000,271,32,14,-0.25,1.55
128,0,0.441000,0.427830,0.440000,0.441000,0.440000,0.441000,267,32,14,-0.25,1.46
129,0,0.441000,0.427915,0.440000,0.441000,0.440000,0.441000,275,32,14,-0.25,1.56
130,0,0.442000,0.428453,0.440250,0.442000,0.440250,0.442000,281,34,19,-0.25,1.50
131,0,0.442000,0.428059,0.440250,0.442000,0.440250,0.442000,264,34,19,-0.25,1.55
132,0,0.442000,0.430912,0.440250,0.442000,0.440250,0.442000,269,34,19,-0.25,1.51
133,0,0.442000,0.430286,0.440250,0.442000,0.440250,0.442000,280,34,19,-0.25,1.58
134,0,0.442000,0.430466,0.440250,0.442000,0.440250,0.442000,279,34,19,-0.25,1.59
135,0,0.442000,0.429671,0.440250,0.442000,0.440250,0.442000,282,34,19,-0.25,1.54
136,0,0.442000,0.430106,0.440250,0.442000,0.440250,0.442000,283,34,19,-0.25,1.62
137,0,0.442000,0.430154,0.440250,0.442000,0.440250,0.442000,283,34,19,-0.25,1.55
138,0,0.442000,0.429238,0.440250,0.442000,0.440250,0.442000,284,34,19,-0.25,1.57
139,0,0.442000,0.428989,0.440250,0.442000,0.440250,0.442000,291,34,19,-0.25,1.59
140,0,0.442000,0.429153,0.440250,0.442000,0.440250,0.442000,289,34,19,-0.25,1.48
141,0,0.442000,0.427854,0.440500,0.442000,0.440500,0.442000,268,34,19,-0.25,1.50
142,0,0.442000,0.427371,0.440500,0.442000,0.440500,0.442000,254,34,19,-0.25,1.55
143,0,0.442000,0.425801,0.440500,0.442000,0.440500,0.442000,264,34,19,-0.25,1.47
144,0,0.442000,0.424627,0.440500,0.442000,0.440500,0.442000,242,34,19,-0.25,1.49
145,0,0.442000,0.425820,0.440500,0.442000,0.440500,0.442000,233,34,19,-0.25,1.54
146,0,0.442000,0.426897,0.440750,0.442000,0.440750,0.442000,243,34,19,-0.25,1.49
147,0,0.442000,0.427382,0.440750,0.442000,0.440750,0.442000,251,34,19,-0.25,1.53
148,0,0.442000,0.427851,0.440750,0.442000,0.440750,0.442000,251,34,19,-0.25,1.51
149,0,0.442000,0.425959,0.440750,0.442000,0.440750,0.442000,256,34,19,-0.25,1.64
150,0,0.442000,0.426762,0.440750,0.442000,0.440750,0.442000,262,34,19,-0.25,1.47
151,0,0.442000,0.428124,0.441000,0.442000,0.441000,0.442000,257,34,19,-0.25,1.50
152,0,0.442000,0.427000,0.441000,0.442000,0.441000,0.442000,249,34,19,-0.25,1.55
153,0,0.442000,0.425738,0.441000,0.442000,0.441000,0.442000,234,34,19,-0.25,1.57
154,0,0.442000,0.426084,0.441000,0.442000,0.441000,0.442000,249,34,19,-0.25,1.56
155,0,0.442000,0.426574,0.441000,0.442000,0.441000,0.442000,222,34,19,-0.25,1.52
156,0,0.442000,0.427285,0.441000,0.442000,0.441000,0.442000,230,34,19,-0.25,1.56
157,0,0.442000,0.424412,0.441000,0.442000,0.441000,0.442000,232,34,19,-0.25,1.56
158,0,0.442000,0.426472,0.441000,0.442000,0.441000,0.442000,236,34,19,-0.25,1.61
159,0,0.442000,0.423269,0.441000,0.442000,0.441000,0.442000,215,34,19,-0.25,1.86
160,0,0.442000,0.424686,0.441000,0.442000,0.441000,0.442000,232,34,19,-0.25,1.84
161,0,0.442000,0.425638,0.441000,0.442000,0.441000,0.442000,237,34,19,-0.25,1.82
162,0,0.442000,0.425064,0.441000,0.442000,0.441000,0.442000,249,34,19,-0.25,1.63
163,0,0.442250,0.428180,0.441000,0.442250,0.441000,0.442250,248,34,19,-0.25,1.58
164,0,0.442250,0.426052,0.441000,0.442250,0.441000,0.442250,252,34,19,-0.25,1.68
165,0,0.442250,0.427226,0.441000,0.442250,0.441000,0.442250,269,34,19,-0.25,1.66
166,0,0.442250,0.426304,0.441000,0.442250,0.441000,0.442250,267,34,19,-0.25,1.95
167,0,0.442250,0.426861,0.441000,0.442250,0.441000,0.442250,260,34,19,-0.25,1.56
168,0,0.442250,0.427990,0.441000,0.442250,0.441000,0.442250,268,34,19,-0.25,1.73
169,0,0.442250,0.428297,0.441000,0.442250,0.441000,0.442250,255,34,19,-0.25,1.63
170,0,0.442250,0.426933,0.441000,0.442250,0.441000,0.442250,261,34,19,-0.25,1.69
171,0,0.442250,0.428669,0.441000,0.442250,0.441000,0.442250,266,35,19,-0.25,1.57
172,0,0.442250,0.427337,0.441000,0.442250,0.441000,0.442250,273,35,19,-0.25,1.56
