generation,phase,lead_best,lead_avg,follow_best,follow_avg,best_delta_lead,best_delta_follow,n_species_lead,n_species_follow,n_conns_lead,n_conns_follow,elapsed_sec
863,1,0.599609,-0.947152,0.505859,-0.030461,0.599609,0.505859,311,257,52,87,7.18
864,1,1.623047,1.015420,0.416016,-0.691709,1.623047,0.416016,309,262,49,50,5.81
865,1,2.167969,1.790553,0.332031,-0.295256,2.167969,0.332031,315,257,50,86,2.15
866,1,2.607422,2.186564,1.078125,0.506498,2.607422,1.078125,317,260,52,87,4.14
867,1,2.119141,1.572186,-0.679688,-1.546713,2.119141,-0.679688,310,261,51,54,3.09
868,1,1.570312,0.874850,-0.425781,-0.860734,1.570312,-0.425781,316,268,49,87,3.71
869,1,-0.791016,-1.452896,1.062500,0.445918,-0.791016,1.062500,312,266,53,50,4.70
870,1,1.080078,0.536143,-0.146484,-0.670316,1.080078,-0.146484,313,268,53,49,2.83
871,1,0.171875,-0.340152,-0.746094,-1.581734,0.171875,-0.746094,306,268,49,45,4.20
872,1,0.630859,-0.509094,-2.630859,-2.955205,0.630859,-2.630859,306,274,48,48,6.73
873,1,0.718750,0.383506,-1.630859,-2.397631,0.718750,-1.630859,307,274,50,46,3.08
874,1,1.373047,1.153172,0.664062,-0.512670,1.373047,0.664062,304,261,56,47,3.05
875,1,-0.482422,-0.869920,4.294922,2.481963,-0.482422,4.294922,291,261,50,47,5.11
876,1,0.628906,-0.199201,-2.294922,-3.049396,0.628906,-2.294922,295,258,54,47,5.79
877,1,0.132812,-0.298758,-2.646484,-2.991135,0.132812,-2.646484,294,272,52,48,4.15
878,1,-0.275391,-1.967207,-4.332031,-4.902178,-0.275391,-4.332031,297,271,48,48,8.64
879,1,1.259766,0.737709,-1.498047,-2.127150,1.259766,-1.498047,286,266,55,50,5.97
880,1,-0.169922,-0.840430,-0.515625,-1.272676,-0.169922,-0.515625,290,267,50,46,4.61
881,1,1.382812,0.854471,-0.599609,-1.453623,1.382812,-0.599609,293,280,52,47,4.72
882,1,0.125000,-0.372102,-1.996094,-2.782049,0.125000,-1.996094,297,274,49,50,5.01
883,1,1.085938,0.026652,-0.951172,-1.452391,1.085938,-0.951172,296,276,57,48,3.37
884,1,4.146484,2.474219,-2.287109,-3.111893,4.146484,-2.287109,295,272,50,50,5.99
885,1,2.140625,1.610959,1.339844,0.711801,2.140625,1.339844,292,271,54,48,3.34
886,1,2.468750,0.973604,-1.509766,-2.183039,2.468750,-1.509766,295,260,50,47,5.12
887,1,3.042969,1.587635,-1.306641,-3.024709,3.042969,-1.306641,300,268,51,44,6.06
888,1,1.117188,0.473016,-0.986328,-1.933625,1.117188,-0.986328,299,262,48,47,3.07
889,1,0.263672,-0.364000,-1.072266,-1.490404,0.263672,-1.072266,295,253,51,47,4.54
890,1,1.279297,0.700160,-0.306641,-1.091277,1.279297,-0.306641,288,267,49,52,2.92
891,1,0.703125,-0.043596,-1.269531,-2.353959,0.703125,-1.269531,286,259,49,49,6.67
892,1,2.378906,1.650072,0.074219,-0.626826,2.378906,0.074219,286,271,48,50,4.53
893,1,1.636719,1.058988,0.677734,-0.927180,1.636719,0.677734,289,271,49,84,4.53
894,1,-1.013672,-2.617547,-1.330078,-2.089762,-1.013672,-1.330078,293,266,49,85,5.19
895,1,2.310547,1.525656,-0.402344,-1.150773,2.310547,-0.402344,298,276,50,85,3.17
896,1,0.105469,-1.028141,-2.279297,-2.858645,0.105469,-2.279297,307,277,51,85,5.19
897,1,2.025391,1.637471,0.417969,-0.323393,2.025391,0.417969,306,269,55,84,2.25
898,1,0.824219,-0.054816,3.226562,1.827717,0.824219,3.226562,309,268,51,51,5.10
899,1,0.804688,-0.018131,2.798828,1.649391,0.804688,2.798828,314,270,50,84,4.03
900,1,0.527344,-0.189645,-3.080078,-3.804107,0.527344,-3.080078,321,275,51,84,5.99
901,1,1.914062,1.584506,-0.101562,-0.999199,1.914062,-0.101562,325,273,47,85,4.43
902,1,1.210938,0.402703,-0.390625,-1.262514,1.210938,-0.390625,322,267,50,45,4.31
903,1,-0.109375,-1.289631,-0.585938,-1.410113,-0.109375,-0.585938,323,272,52,46,6.39
904,1,1.292969,0.587842,0.933594,0.406604,1.292969,0.933594,326,281,47,48,3.85
905,1,1.621094,1.246172,0.761719,-0.035689,1.621094,0.761719,323,282,56,49,3.54
906,1,1.703125,0.586437,1.292969,0.246100,1.703125,1.292969,328,288,59,47,7.16
907,1,2.089844,1.662783,-2.087891,-3.599369,2.089844,-2.087891,325,287,56,47,5.43
908,1,0.578125,-0.820072,0.583984,-0.200703,0.578125,0.583984,325,297,46,85,3.44
909,1,1.126953,0.723172,0.369141,-0.077975,1.126953,0.369141,323,294,50,48,4.48
910,1,1.337891,0.141102,0.449219,-0.125357,1.337891,0.449219,321,290,48,84,5.38
911,1,1.828125,0.841387,0.320312,-0.506980,1.828125,0.320312,320,293,49,51,3.47
912,1,0.142578,-0.202057,-0.488281,-1.562457,0.142578,-0.488281,322,293,51,46,6.88
913,1,1.279297,0.875020,-1.468750,-2.687277,1.279297,-1.468750,325,297,53,46,5.54
914,1,0.785156,0.151184,0.097656,-0.462941,0.785156,0.097656,323,296,58,50,2.35
915,1,2.558594,2.071543,0.414062,-0.484895,2.558594,0.414062,309,294,58,48,2.01
916,1,1.621094,1.112180,-0.884766,-2.076502,1.621094,-0.884766,317,197,59,52,3.34
917,1,1.810547,-0.103004,0.695312,0.093846,1.810547,0.695312,319,228,47,50,6.57
918,1,1.654297,1.259555,-0.007812,-0.807459,1.654297,-0.007812,317,240,52,51,4.59
919,1,-0.337891,-1.293117,0.599609,-0.095777,-0.337891,0.599609,316,240,50,46,3.24
920,1,-1.035156,-1.736695,0.507812,-0.088336,-1.035156,0.507812,308,260,50,48,3.38
921,1,1.601562,1.204119,0.353516,-0.114115,1.601562,0.353516,308,275,54,50,2.30
922,1,-0.457031,-0.997434,-0.216797,-1.597496,-0.457031,-0.216797,310,280,54,51,4.67
923,1,0.326172,-0.624617,-0.001953,-0.871605,0.326172,-0.001953,311,293,50,47,4.51
924,1,0.246094,-0.220875,-0.890625,-1.613336,0.246094,-0.890625,314,297,47,50,4.47
925,1,-1.292969,-2.462943,0.087891,-0.449061,-1.292969,0.087891,113,304,60,48,5.52
926,1,1.744141,1.089826,0.027344,-0.426371,1.744141,0.027344,165,290,49,49,6.00
927,1,0.828125,-0.095695,0.941406,-0.409148,0.828125,0.941406,178,290,49,53,4.36
928,1,-0.765625,-1.398758,-1.169922,-1.625916,-0.765625,-1.169922,190,290,49,48,5.45
929,1,1.378906,0.375766,-0.013672,-0.604410,1.378906,-0.013672,211,283,54,46,6.59
930,1,1.712891,0.882430,-0.234375,-0.982615,1.712891,-0.234375,223,285,46,48,2.12
931,1,1.667969,1.154635,1.607422,0.929514,1.667969,1.607422,229,285,48,46,2.53
932,1,1.937500,0.685303,0.132812,-0.455855,1.937500,0.132812,236,289,52,45,4.26
933,1,1.076172,0.616020,-1.972656,-2.724701,1.076172,-1.972656,252,287,50,50,3.42
934,1,2.250000,1.516299,-0.216797,-1.302389,2.250000,-0.216797,256,290,49,45,6.16
935,1,1.896484,1.498143,0.734375,-0.340920,1.896484,0.734375,256,288,50,44,3.52
936,1,0.623047,-0.479281,0.031250,-0.480570,0.623047,0.031250,256,291,46,47,6.38
937,1,0.158203,-0.854689,-4.289062,-5.264412,0.158203,-4.289062,250,288,50,50,8.42
938,1,2.228516,1.848203,-0.398438,-1.106461,2.228516,-0.398438,255,288,49,47,7.03
939,1,0.826172,-0.286836,0.548828,-0.293328,0.826172,0.548828,267,219,50,47,7.67
940,1,1.529297,0.602631,-0.542969,-1.490883,1.529297,-0.542969,268,235,54,84,5.26
941,1,1.093750,0.576467,1.199219,0.594803,1.093750,1.199219,282,246,49,47,5.19
942,1,1.865234,1.468725,0.539062,-0.121051,1.865234,0.539062,284,257,47,85,3.37
943,1,1.628906,1.195654,0.490234,-0.057645,1.628906,0.490234,290,265,51,49,3.06
944,1,2.087891,0.643842,0.638672,0.020309,2.087891,0.638672,283,260,50,85,3.39
945,1,1.896484,0.554498,-0.121094,-0.995867,1.896484,-0.121094,281,253,50,49,6.85
946,1,0.324219,-1.178287,-0.494141,-1.186219,0.324219,-0.494141,282,249,49,48,5.20
947,1,0.607422,-0.449750,-0.117188,-0.499676,0.607422,-0.117188,290,262,49,48,9.12
948,1,0.761719,-0.226949,-3.396484,-4.076809,0.761719,-3.396484,290,251,50,85,8.45
949,1,1.814453,1.525564,-0.082031,-1.446703,1.814453,-0.082031,279,255,51,45,7.05
950,1,1.318359,0.873283,0.589844,-0.274254,1.318359,0.589844,284,260,50,48,4.90
951,1,0.521484,-0.430812,0.306641,-0.387066,0.521484,0.306641,280,274,54,48,4.88
952,1,2.050781,1.550145,-0.822266,-1.811145,2.050781,-0.822266,276,276,51,47,6.73
953,1,1.376953,0.838184,-3.583984,-4.278482,1.376953,-3.583984,277,291,52,85,8.91
954,1,1.556641,0.645975,0.955078,0.560412,1.556641,0.955078,273,293,54,50,5.22
955,1,1.541016,1.122525,-0.896484,-1.417918,1.541016,-0.896484,277,298,65,50,3.39
956,1,1.976562,1.578395,-2.031250,-3.477365,1.976562,-2.031250,242,302,53,84,8.84
957,1,1.878906,1.458764,0.728516,-0.194438,1.878906,0.728516,257,300,66,86,3.36
958,1,2.455078,1.502447,-1.164062,-1.702984,2.455078,-1.164062,270,304,52,50,8.03
959,1,1.253906,-0.381637,-0.546875,-2.113061,1.253906,-0.546875,267,306,48,47,8.84
960,1,1.023438,0.684814,-1.845703,-2.678367,1.023438,-1.845703,280,305,55,48,4.73
961,1,1.789062,0.693625,-1.347656,-2.231100,1.789062,-1.347656,289,305,48,47,8.31
962,1,0.902344,-0.390520,3.498047,2.981844,0.902344,3.498047,284,306,45,50,6.11
963,1,1.574219,1.009889,0.373047,-0.161184,1.574219,0.373047,290,308,65,46,2.06
964,1,1.488281,0.088047,-0.982422,-1.818477,1.488281,-0.982422,292,309,53,90,6.44
965,1,2.164062,1.082691,-1.460938,-2.215438,2.164062,-1.460938,299,313,50,49,3.09
966,1,-0.296875,-0.777105,0.283203,-0.172404,-0.296875,0.283203,304,316,51,48,4.56
967,1,1.132812,0.667645,-0.248047,-1.351229,1.132812,-0.248047,292,316,61,51,4.79
968,1,0.080078,-0.647789,-0.275391,-1.172027,0.080078,-0.275391,298,314,51,91,5.43
969,1,0.914062,0.431061,-0.103516,-0.696449,0.914062,-0.103516,297,320,68,47,4.35
970,1,1.292969,0.879893,-0.013672,-0.564965,1.292969,-0.013672,304,313,53,92,2.00
971,1,-0.703125,-1.862654,0.595703,-0.483531,-0.703125,0.595703,297,320,51,90,4.35
972,1,2.126953,1.671861,0.484375,-0.260525,2.126953,0.484375,290,317,55,49,3.43
973,1,0.662109,0.180695,0.353516,-0.564420,0.662109,0.353516,293,312,51,86,2.22
