1085,1,0.228516,-0.179709,0.228516,-0.179709,271,271,181,94,1.74
1086,1,0.117188,-0.210551,0.117188,-0.210551,267,267,181,86,1.56
1087,1,0.517578,-0.156768,0.517578,-0.156768,258,258,179,81,1.61
1088,1,0.449219,0.057650,0.449219,0.057650,264,264,180,90,1.01
1089,1,0.607422,0.250781,0.607422,0.250781,255,255,176,77,2.33
1090,1,0.291016,-0.287545,0.291016,-0.287545,267,267,183,82,1.57
1091,1,-0.505859,-0.893414,-0.505859,-0.893414,266,266,177,81,1.81
1092,1,-0.173828,-0.444188,-0.173828,-0.444188,262,262,173,77,1.77
1093,1,1.054688,0.491037,1.054688,0.491037,262,262,177,81,1.03
1094,1,0.656250,0.013600,0.656250,0.013600,274,274,189,87,2.29
1095,1,0.216797,-0.077707,0.216797,-0.077707,271,271,176,81,1.01
1096,1,-0.683594,-1.028314,-0.683594,-1.028314,278,278,176,79,2.35
1097,1,-0.500000,-0.955750,-0.500000,-0.955750,284,284,182,80,2.88
1098,1,0.546875,0.177865,0.546875,0.177865,270,270,186,86,2.29
1099,1,0.599609,0.253590,0.599609,0.253590,275,275,175,86,1.02
1100,1,0.404297,0.058809,0.404297,0.058809,280,280,175,78,1.67
1101,1,-1.376953,-1.799184,-1.376953,-1.799184,279,279,175,86,1.61
1102,1,-0.560547,-0.968814,-0.560547,-0.968814,292,292,189,107,2.22
1103,1,-0.841797,-1.517553,-0.841797,-1.517553,289,289,175,82,2.54
1104,1,-0.113281,-0.495629,-0.113281,-0.495629,296,296,176,84,1.56
1105,1,-0.333984,-0.971080,-0.333984,-0.971080,288,288,181,87,1.85
1106,1,-0.464844,-0.883893,-0.464844,-0.883893,283,283,177,78,1.98
1107,1,0.810547,0.520775,0.810547,0.520775,285,285,174,80,1.07
1108,1,-0.224609,-0.721850,-0.224609,-0.721850,288,288,179,88,1.78
1109,1,0.205078,-0.117119,0.205078,-0.117119,285,285,174,77,1.56
1110,1,-0.433594,-0.734563,-0.433594,-0.734563,281,281,178,84,1.42
1111,1,0.191406,-0.238285,0.191406,-0.238285,281,281,178,87,1.80
1112,1,-0.755859,-2.480652,-0.755859,-2.480652,263,263,173,82,2.31
1113,1,-0.345703,-0.909311,-0.345703,-0.909311,258,258,178,88,1.83
1114,1,-0.507812,-0.915742,-0.507812,-0.915742,273,273,177,86,1.10
1115,1,0.572266,0.231064,0.572266,0.231064,275,275,174,82,1.56
1116,1,-1.207031,-1.889016,-1.207031,-1.889016,267,267,179,87,1.71
1117,1,1.021484,0.562490,1.021484,0.562490,265,265,182,84,1.52
1118,1,-0.199219,-0.731381,-0.199219,-0.731381,270,270,182,18,1.03
1119,1,0.533203,-0.561564,0.533203,-0.561564,267,267,182,83,1.80
1120,1,0.962891,0.513387,0.962891,0.513387,256,256,181,80,2.22
1121,1,-0.027344,-0.606680,-0.027344,-0.606680,119,119,178,81,1.75
1122,1,-0.294922,-0.680064,-0.294922,-0.680064,186,186,178,81,2.00
1123,1,1.267578,0.473389,1.267578,0.473389,190,190,179,81,1.10
1124,1,-0.398438,-0.842961,-0.398438,-0.842961,203,203,178,86,1.18
1125,1,0.421875,-0.140063,0.421875,-0.140063,219,219,183,84,1.54
1126,1,0.382812,-0.701559,0.382812,-0.701559,243,243,180,81,3.14
1127,1,-0.013672,-0.472523,-0.013672,-0.472523,237,237,177,89,1.92
1128,1,0.896484,0.536395,0.896484,0.536395,265,265,178,92,1.08
1129,1,-0.355469,-0.659080,-0.355469,-0.659080,275,275,188,93,2.35
1130,1,0.105469,-0.193174,0.105469,-0.193174,252,252,180,91,0.97
1131,1,-0.033203,-0.759189,-0.033203,-0.759189,258,258,182,82,1.63
1132,1,-0.039062,-0.409205,-0.039062,-0.409205,266,266,178,80,1.64
1133,1,-1.142578,-1.475627,-1.142578,-1.475627,258,258,184,102,2.36
231,1,-4.306641,-5.465617,-4.306641,-5.465617,251,251,79,20,0.52
232,1,-4.271484,-6.344430,-4.271484,-6.344430,228,228,76,11,0.96
233,1,-4.683594,-5.731611,-4.683594,-5.731611,243,243,79,14,0.81
234,1,-3.925781,-5.463453,-3.925781,-5.463453,252,252,83,11,0.75
235,1,-4.898438,-6.207898,-4.898438,-6.207898,250,250,80,24,0.54
236,1,-3.117188,-5.981500,-3.117188,-5.981500,244,244,84,16,0.97
237,1,-4.552734,-6.026283,-4.552734,-6.026283,244,244,80,12,0.74
238,1,-3.667969,-5.116611,-3.667969,-5.116611,239,239,80,22,0.53
239,1,-3.652344,-4.711100,-3.652344,-4.711100,252,252,84,16,0.59
240,1,-4.507812,-5.817121,-4.507812,-5.817121,263,263,73,14,0.58
241,1,-3.193359,-4.161951,-3.193359,-4.161951,256,256,83,17,0.31
242,1,-2.218750,-3.908629,-2.218750,-3.908629,258,258,83,21,0.30
243,1,-0.746094,-5.504564,-0.746094,-5.504564,255,255,74,17,0.74
244,1,-3.179688,-7.206287,-3.179688,-7.206287,251,251,74,17,0.71
245,1,-1.232422,-5.343336,-1.232422,-5.343336,253,253,74,17,0.74
246,1,-1.406250,-3.922180,-1.406250,-3.922180,253,253,75,19,0.75
247,1,-0.632812,-4.406826,-0.632812,-4.406826,247,247,74,17,0.71
248,1,0.976562,-3.145863,0.976562,-3.145863,238,238,74,18,0.32
249,1,-1.123047,-4.061781,-1.123047,-4.061781,245,245,75,21,0.35
250,1,-1.267578,-3.475361,-1.267578,-3.475361,247,247,75,17,0.35
251,1,0.169922,-3.506287,0.169922,-3.506287,248,248,75,18,0.34
252,1,-0.818359,-4.382416,-0.818359,-4.382416,246,246,78,18,0.36
253,1,-1.115234,-3.657682,-1.115234,-3.657682,236,236,72,18,0.52
