generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,lead_val_acc,follow_val_acc,fixed_probe_delta,elapsed_sec
350,1,1.218750,0.643213,1.218750,0.643213,20,20,115,147,0.000000,0.000000,1.101562,5.36
351,1,0.738281,0.344094,0.738281,0.344094,20,20,130,157,0.000000,0.000000,0.000000,7.61
352,1,0.083984,-0.331869,0.083984,-0.331869,20,20,127,153,0.000000,0.000000,0.000000,7.01
353,1,0.865234,0.404051,0.865234,0.404051,20,20,133,162,0.000000,0.000000,0.000000,5.79
354,1,0.541016,-0.140139,0.541016,-0.140139,20,20,131,160,0.000000,0.000000,0.000000,5.70
355,1,1.402344,0.847363,1.402344,0.847363,20,20,126,148,0.000000,0.000000,0.000000,6.05
356,1,0.279297,-0.063117,0.279297,-0.063117,20,20,131,167,0.000000,0.000000,0.000000,9.07
357,1,0.931641,0.270537,0.931641,0.270537,20,20,133,158,0.000000,0.000000,0.000000,5.61
358,1,0.263672,-0.285248,0.263672,-0.285248,20,20,132,168,0.000000,0.000000,0.000000,9.26
359,1,0.968750,0.254557,0.968750,0.254557,20,20,129,165,0.000000,0.000000,0.000000,5.95
360,1,0.744141,0.199371,0.744141,0.199371,20,20,132,171,0.000000,0.000000,0.000000,5.74
361,1,1.142578,0.571131,1.142578,0.571131,20,20,134,164,0.000000,0.000000,0.000000,5.73
362,1,0.166016,-0.628672,0.166016,-0.628672,20,20,127,167,0.000000,0.000000,0.000000,7.89
363,1,0.554688,0.137025,0.554688,0.137025,20,20,140,167,0.000000,0.000000,0.000000,6.57
364,1,0.421875,-0.093066,0.421875,-0.093066,20,20,137,158,0.000000,0.000000,0.000000,8.69
365,1,0.234375,-0.203596,0.234375,-0.203596,20,20,137,168,0.000000,0.000000,0.000000,6.40
366,1,0.791016,0.104426,0.791016,0.104426,20,20,130,165,0.000000,0.000000,0.000000,4.80
367,1,0.541016,0.168373,0.541016,0.168373,20,20,141,160,0.000000,0.000000,0.000000,6.30
368,1,0.767578,0.013633,0.767578,0.013633,20,20,136,168,0.000000,0.000000,0.000000,4.66
369,1,1.494141,0.785139,1.494141,0.785139,20,20,136,171,0.000000,0.000000,0.000000,5.22
370,1,1.287109,0.690432,1.287109,0.690432,20,20,138,170,0.000000,0.000000,0.000000,6.72
371,1,0.591797,0.116609,0.591797,0.116609,20,20,145,176,0.000000,0.000000,0.000000,6.59
372,1,0.119141,-0.149703,0.119141,-0.149703,20,20,134,171,0.000000,0.000000,0.000000,5.36
373,1,0.292969,-0.101955,0.292969,-0.101955,20,20,146,178,0.000000,0.000000,0.000000,10.36
374,1,0.462891,0.012467,0.462891,0.012467,20,20,142,178,0.000000,0.000000,0.000000,6.49
375,1,0.812500,0.258121,0.812500,0.258121,20,20,144,177,0.000000,0.000000,1.019531,5.44
376,1,1.000000,0.446104,1.000000,0.446104,20,20,140,171,0.000000,0.000000,0.000000,5.56
