generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,elapsed_sec
604,1,-0.212891,-1.110244,-0.337891,-0.679178,299,240,28,56,2.07
605,1,0.347656,0.011346,0.103516,-0.308172,299,239,25,52,2.02
606,1,-0.863281,-1.367447,-0.974609,-1.589996,303,244,27,52,3.22
607,1,-0.568359,-0.940248,-1.390625,-2.723770,304,260,25,55,3.13
608,1,-0.673828,-1.050357,-0.298828,-0.899115,297,259,29,50,3.10
609,1,-1.736328,-2.295773,-1.238281,-1.923668,294,277,29,56,2.68
610,1,-1.199219,-1.487303,0.240234,-0.246674,296,278,26,50,2.39
611,1,-0.496094,-1.127299,-0.892578,-1.240801,303,274,26,57,3.17
612,1,-0.169922,-0.713289,-0.279297,-0.776268,300,281,25,50,2.68
613,1,-0.300781,-0.883617,0.003906,-0.690512,309,273,25,49,2.06
614,1,-1.035156,-1.824881,-0.890625,-1.709053,300,278,28,51,2.55
615,1,-1.091797,-1.495018,-0.462891,-1.016605,310,268,30,53,2.64
616,1,-1.035156,-2.560756,-1.761719,-2.474943,311,265,24,50,3.69
617,1,-0.388672,-1.733602,-0.736328,-1.070475,309,270,26,50,2.66
618,1,-0.599609,-1.039361,-0.580078,-1.364902,314,268,24,57,3.11
619,1,-0.566406,-1.066879,-1.107422,-1.667318,314,273,25,50,3.08
620,1,-0.236328,-0.591658,-0.687500,-1.564547,311,270,26,51,2.00
621,1,1.683594,1.286484,0.066406,-0.574805,313,274,25,52,2.57
622,1,-0.416016,-0.707254,-0.644531,-1.104826,319,258,26,49,2.64
623,1,-1.490234,-1.712758,0.140625,-0.314229,318,245,26,49,2.57
624,1,-0.775391,-1.644779,-1.126953,-1.751025,322,242,28,53,2.62
625,1,-0.574219,-1.504826,-0.517578,-1.165930,320,255,24,51,2.54
626,1,-0.824219,-1.170518,-0.937500,-1.429176,315,250,25,53,2.08
627,1,-1.701172,-2.309488,-0.552734,-0.983582,320,243,28,53,3.19
628,1,-0.347656,-0.632191,0.255859,-0.261412,315,248,25,50,1.42
629,1,0.236328,-0.279975,-0.642578,-1.661275,320,241,26,55,2.62
630,1,-0.871094,-1.095650,-0.494141,-0.815854,318,247,27,52,2.43
631,1,-0.498047,-0.751783,0.228516,-0.298717,318,247,27,49,1.99
632,1,0.472656,0.190938,-0.542969,-1.254029,323,238,25,53,3.24
633,1,-2.068359,-2.531023,-0.662109,-1.171793,318,232,26,53,2.68
634,1,-0.757812,-1.188973,-0.277344,-0.746936,321,244,28,54,3.16
635,1,-0.925781,-1.176426,-0.226562,-1.214377,322,235,26,55,2.57
636,1,0.593750,0.432549,-0.701172,-1.098709,318,224,25,53,2.05
637,1,-0.341797,-0.567879,-0.400391,-0.869521,300,232,25,55,1.47
638,1,-2.328125,-2.994857,-0.074219,-0.692555,318,234,28,54,2.61
639,1,-0.207031,-0.405168,-1.185547,-1.688080,309,245,26,53,2.02
640,1,-2.792969,-3.113340,-1.412109,-1.842854,312,244,25,55,3.09
641,1,-0.371094,-1.246207,-1.367188,-1.896002,312,247,25,55,2.07
642,1,-0.005859,-0.303895,-0.365234,-1.093840,314,245,27,53,2.08
643,1,-1.818359,-2.096943,0.417969,-0.052756,306,245,25,55,2.62
644,1,-0.220703,-0.685559,0.091797,-0.942652,307,216,25,52,2.56
645,1,-0.398438,-1.133492,-0.691406,-1.350998,307,251,28,54,1.98
646,1,-0.531250,-0.878699,-0.837891,-1.311145,305,251,26,54,2.08
647,1,-0.816406,-2.911836,-1.218750,-1.891578,305,244,25,53,4.26
648,1,-0.347656,-1.023121,-1.060547,-1.482695,301,250,28,55,2.59
649,1,-1.126953,-1.513996,-0.617188,-1.123508,296,250,27,54,3.11
650,1,0.289062,-0.059547,-0.316406,-0.694201,306,255,27,56,1.93
651,1,0.095703,-0.300656,0.083984,-0.669299,299,259,29,51,1.48
652,1,-0.353516,-0.713551,-1.605469,-1.870387,294,256,25,52,3.67
653,1,0.613281,0.007967,-2.259766,-2.889146,296,258,27,50,3.11
654,1,-0.621094,-1.085463,-0.966797,-1.291248,294,265,25,50,3.20
655,1,-0.902344,-1.125729,-0.742188,-1.228969,286,242,26,49,2.08
656,1,-0.207031,-0.935215,0.316406,-0.045531,280,243,28,51,2.00
657,1,0.248047,-0.500938,-0.138672,-0.499078,280,244,26,53,3.18
658,1,-0.619141,-1.131141,-1.310547,-1.709330,281,256,26,48,2.06
659,1,0.507812,0.129848,-1.029297,-1.337244,273,260,26,53,2.70
660,1,-1.357422,-2.310076,-0.082031,-0.444828,269,261,28,53,2.39
661,1,-1.111328,-1.653396,-1.107422,-1.606613,267,263,26,52,2.63
662,1,-0.238281,-0.771660,-0.521484,-1.242369,44,275,27,50,3.24
663,1,-0.400391,-0.829586,-0.152344,-0.709736,102,271,29,49,1.49
664,1,-0.048828,-0.431193,0.041016,-0.473277,125,283,27,55,1.44
665,1,-0.121094,-0.533072,-1.195312,-1.717035,132,281,25,50,2.10
666,1,0.121094,-0.528205,0.021484,-0.298420,153,284,25,52,2.03
667,1,0.722656,0.293609,-1.644531,-2.095035,167,281,28,51,2.05
668,1,0.816406,0.407885,-0.283203,-1.323383,183,284,25,52,3.71
669,1,-0.457031,-1.080363,0.001953,-0.510592,197,282,26,51,2.56
670,1,-1.150391,-1.913742,-0.996094,-1.776271,204,281,25,50,3.54
671,1,-0.710938,-1.260324,-0.441406,-1.325883,207,276,26,51,3.22
672,1,-0.949219,-1.472371,0.505859,0.069752,227,270,28,53,2.04
673,1,-2.058594,-2.587594,-1.210938,-1.600734,225,268,27,51,2.13
674,1,-0.414062,-0.916219,-0.861328,-1.311625,221,268,25,50,2.54
675,1,-0.156250,-0.594842,-1.384766,-1.896303,232,263,26,49,3.21
676,1,-1.287109,-2.270725,-1.361328,-1.888297,243,258,29,50,2.08
677,1,-0.152344,-0.656793,-0.644531,-1.157678,249,259,31,53,2.06
678,1,-0.781250,-1.582230,-0.875000,-1.302633,269,257,28,47,2.08
679,1,-1.076172,-1.533002,-1.623047,-2.292396,268,257,28,50,3.14
680,1,-1.544922,-2.162080,-0.839844,-1.214152,287,275,26,48,1.96
681,1,-2.035156,-2.495283,-0.435547,-1.018324,278,270,28,51,2.62
682,1,-0.240234,-0.556475,-0.302734,-0.724883,286,271,26,50,2.02
683,1,0.908203,-0.245809,-0.919922,-1.332766,287,263,28,51,2.56
684,1,-0.271484,-1.442598,-0.462891,-1.010592,289,255,26,52,2.01
685,1,-0.425781,-0.762799,-1.693359,-2.053639,289,273,26,49,2.63
686,1,0.748047,0.091805,-0.011719,-0.514006,284,279,27,49,2.58
687,1,-1.531250,-2.208711,-1.205078,-1.566703,287,280,26,53,2.62
688,1,-1.671875,-2.103068,-0.449219,-0.721135,297,278,24,49,3.13
689,1,-0.777344,-1.237518,-0.833984,-1.215588,298,266,27,51,2.63
690,1,-0.099609,-0.365453,-0.041016,-0.303162,296,278,26,53,1.89
691,1,-0.396484,-0.792859,0.490234,0.043174,292,281,27,53,3.25
692,1,-0.751953,-1.368750,0.339844,-0.477594,301,274,30,50,3.21
